time,x,y,behavior
2.9333333333333327,-2.8244015686407975,1.3249208907128336,In
2.966666666666666,-2.8226894567644205,1.322888266194736,In
2.999999999999999,-2.8208762914864214,1.320709161847444,In
3.0333333333333323,-2.819320637338038,1.3188097533401628,In
3.0666666666666655,-2.817665316669152,1.316763029262426,In
3.0999999999999988,-2.815967172380553,1.3146533072235964,In
3.133333333333332,-2.8142857319237744,1.3125626262022951,In
3.166666666666665,-2.8126823565548436,1.3105715473966106,In
3.1999999999999984,-2.8110284798240013,1.3085237188032226,In
3.2333333333333316,-2.809323213357463,1.3064197449252022,ObstacleAvoidance
3.266666666666665,-2.8076462318789277,1.3043579967148173,ObstacleAvoidance
3.299999999999998,-2.8060293585012093,1.3023779183685642,ObstacleAvoidance
3.3333333333333313,-2.8043763330243654,1.3003620073825766,ObstacleAvoidance
